Freq,Amp,Phase,Freq_err,Amp_err,Phase_err,Sig_slf,Sig_lopoly,Sig_avg
1.6455611025815189,10898.837681432291,-0.006354097225568012,0.000288141690593336,124.01708959330442,0.011378928030516964,22.113525550032616,35.83078542011351,0
0.808705234749962,6934.318029794308,7.947178969776189,0.0004528793605278886,124.01708959330442,0.017884540204306597,12.577167103064633,15.727139649552642,0
0.6349607601369085,3886.086601460039,-5.77224664278674,0.0008081161942840834,124.01708959330442,0.03191310495929505,7.035443448741586,9.433059931128913,0
0.1389465266066362,3584.403614860952,9.139729276022265,0.0008761316672068134,124.01708959330442,0.034599086185252426,6.484922646294288,14.612456509657681,0
1.1039313268044095,2885.3388419378643,4.818822758112333,0.0010884023288304948,124.01708959330442,0.04298181128356193,5.292099305945768,6.939420574411343,0
0.7127739822660447,3102.2501797575974,-3.082076433276427,0.0010123005344706399,124.01708959330442,0.03997649525577426,5.619688386955395,7.204518505767749,0
0.28470966470979125,2334.0209386808797,-2.677396930551211,0.0013454932914205653,124.01708959330442,0.053134523147592344,4.222758076836618,10.899963955568033,0
0.39095089119637677,2114.933408555453,8.33700785425377,0.0014848739455939775,124.01708959330442,0.05863876805370004,3.826529590708745,7.398133463484359,0
0.44164017388639726,1842.0840686673494,10.543339728869896,0.0017048133515981034,124.01708959330442,0.06732433752767009,3.3330152206251435,5.764725301880508,0
0.8675502619463857,1804.5726027700152,-2.2321550953916187,0.001740251132157128,124.01708959330442,0.06872380163753924,3.276899970272789,4.086768733948074,0
3.293514850785516,1350.185031473192,0.6548082948654894,0.002325910480287092,124.01708959330442,0.09185192155329176,12.776560149808208,12.03799510156804,0
2.462853441308069,1370.8078333038727,-0.5400793483108117,0.002290918857285306,124.01708959330442,0.09047007653465387,5.078033603950233,7.674950112042384,0
4.937373565357112,355.7551415998952,2.003901480157964,0.008827446599667584,124.01708959330442,0.34860238150199924,9.551660688567747,6.226437281592827,0
5.7671684807752275,299.2581850885812,-0.062085663277528624,0.010493980353789439,124.01708959330442,0.41441502947227676,9.457783618082134,6.703991496301269,0
4.113815318216863,262.1751477656166,1.5830801412463558,0.011978288338137091,124.01708959330442,0.47303144729864,4.917986131404945,3.392727025358011,0
5.002565888431339,178.946390025793,-1.7976499785632143,0.017549443241507146,124.01708959330442,0.6930404663398285,4.892698833660451,3.1993260235520604,0
